author_name,file_name
Josh Cooper,lib/puppet/type/zone.rb
Josh Cooper,spec/unit/pops/loaders/static_loader_spec.rb
Josh Cooper,spec/unit/provider/zone/solaris_spec.rb
Josh Cooper,spec/unit/type/zone_spec.rb
Josh Cooper,.travis.yml
Josh Cooper,Gemfile
Josh Cooper,lib/puppet/pops/puppet_stack.rb
Josh Cooper,lib/puppet/ssl/certificate_request.rb
Josh Cooper,lib/puppet/ssl/oids.rb
Josh Cooper,lib/puppet/type/schedule.rb
Josh Cooper,lib/puppet/util.rb
Josh Cooper,lib/puppet/util/platform.rb
Josh Cooper,lib/puppet/util/rdoc/parser/puppet_parser_core.rb
Josh Cooper,spec/fixtures/unit/functions/hiera/hiera/backend/hieraspec_backend.rb
Josh Cooper,spec/fixtures/unit/functions/lookup/hiera/backend/custom_backend.rb
Josh Cooper,spec/fixtures/unit/functions/lookup/hiera/backend/other_backend.rb
Josh Cooper,spec/integration/application/apply_spec.rb
Josh Cooper,spec/integration/faces/ca_spec.rb
Josh Cooper,spec/integration/indirector/facts/facter_spec.rb
Josh Cooper,spec/integration/ssl/autosign_spec.rb
Josh Cooper,spec/integration/ssl/certificate_authority_spec.rb
Josh Cooper,spec/integration/ssl/certificate_revocation_list_spec.rb
Josh Cooper,spec/integration/ssl/host_spec.rb
Josh Cooper,spec/integration/ssl/key_spec.rb
Josh Cooper,spec/integration/transaction/report_spec.rb
Josh Cooper,spec/integration/transaction_spec.rb
Josh Cooper,spec/integration/type/exec_spec.rb
Josh Cooper,spec/integration/type/package_spec.rb
Josh Cooper,spec/integration/util/execution_spec.rb
Josh Cooper,spec/integration/util/rdoc/parser_spec.rb
Josh Cooper,spec/integration/util_spec.rb
Josh Cooper,spec/lib/puppet_spec/files.rb
Josh Cooper,spec/unit/agent_spec.rb
Josh Cooper,spec/unit/application/lookup_spec.rb
Josh Cooper,spec/unit/application_spec.rb
Josh Cooper,spec/unit/context/trusted_information_spec.rb
Josh Cooper,spec/unit/face/certificate_spec.rb
Josh Cooper,spec/unit/file_bucket/dipper_spec.rb
Josh Cooper,spec/unit/file_system_spec.rb
Josh Cooper,spec/unit/functions/hiera_spec.rb
Josh Cooper,spec/unit/functions/lookup_spec.rb
Josh Cooper,spec/unit/indirector/certificate_request/ca_spec.rb
Josh Cooper,spec/unit/indirector/certificate_status/file_spec.rb
Josh Cooper,spec/unit/indirector/file_bucket_file/file_spec.rb
Josh Cooper,spec/unit/module_tool/applications/builder_spec.rb
Josh Cooper,spec/unit/module_tool/applications/installer_spec.rb
Josh Cooper,spec/unit/network/http/compression_spec.rb
Josh Cooper,spec/unit/network/http/connection_spec.rb
Josh Cooper,spec/unit/parser/functions/generate_spec.rb
Josh Cooper,spec/unit/pops/types/string_converter_spec.rb
Josh Cooper,spec/unit/provider/exec/posix_spec.rb
Josh Cooper,spec/unit/provider/exec/shell_spec.rb
Josh Cooper,spec/unit/provider/package/dpkg_spec.rb
Josh Cooper,spec/unit/provider/package/pkg_spec.rb
Josh Cooper,spec/unit/provider/service/openbsd_spec.rb
Josh Cooper,spec/unit/provider/ssh_authorized_key/parsed_spec.rb
Josh Cooper,spec/unit/provider/user/hpux_spec.rb
Josh Cooper,spec/unit/settings/ini_file_spec.rb
Josh Cooper,spec/unit/ssl/certificate_authority_spec.rb
Josh Cooper,spec/unit/ssl/certificate_factory_spec.rb
Josh Cooper,spec/unit/ssl/certificate_request_spec.rb
Josh Cooper,spec/unit/ssl/certificate_revocation_list_spec.rb
Josh Cooper,spec/unit/ssl/certificate_spec.rb
Josh Cooper,spec/unit/ssl/host_spec.rb
