filename,scatterness
avatar_helper.js,3.49651
issuables_helper.js,3.29584
constants.js,3.82676
eventhub.js,1.09861
ide_router.js,4.48001
index.js,3.47214
utils.js,2.75167
activity_bar.vue,4.01553
changed_file_icon.vue,4.0066
editor_mode_dropdown.vue,3.73507
error_message.vue,4.23411
external_link.vue,3.64595
ide.vue,4.46662
ide_project_header.vue,3.61092
ide_review.vue,3.82894
ide_side_bar.vue,3.98112
ide_status_bar.vue,4.49472
ide_tree.vue,0.0
ide_tree_list.vue,4.13265
mr_file_icon.vue,2.72555
nav_dropdown.vue,4.07754
nav_dropdown_button.vue,3.98898
nav_form.vue,3.68888
repo_commit_section.vue,4.26044
repo_editor.vue,5.12077
repo_file.vue,4.89145
repo_file_status_icon.vue,3.55692
repo_loading_file.vue,3.70466
repo_tab.vue,4.38266
repo_tabs.vue,3.77439
resizable_panel.vue,4.28838
item.vue,4.09434
search_list.vue,4.70953
actions.vue,4.00504
empty_state.vue,2.45831
form.vue,4.86179
list.vue,4.42485
list_collapsed.vue,4.36536
list_item.vue,4.10606
message_field.vue,4.55897
radio_group.vue,4.19174
stage_button.vue,3.96385
success_message.vue,3.29584
unstage_button.vue,3.47393
index.vue,4.86939
item.vue,4.29638
detail.vue,4.37072
item.vue,3.52024
list.vue,3.5294
stage.vue,4.25422
description.vue,3.79116
scroll_button.vue,4.00061
info.vue,2.66462
item.vue,3.89278
list.vue,4.65768
button.vue,3.87908
index.vue,4.57842
modal.vue,4.12153
upload.vue,4.26876
right.vue,0.0
list.vue,0.0
clientside.vue,5.09159
navigator.vue,4.99043
tokened_input.vue,4.79579
editor.js,5.17868
editor_options.js,2.67012
keymap.json,2.3979
disposable.js,2.63906
model.js,4.34118
model_manager.js,3.72896
controller.js,3.86062
controller.js,4.15484
diff.js,3.4012
diff_worker.js,2.13833
gl_theme.js,2.61563
index.js,3.6392
actions.js,5.03023
getters.js,4.21586
index.js,3.08465
mutations.js,5.14224
mutation_types.js,4.11294
state.js,3.30275
utils.js,4.71597
file.js,4.97436
merge_request.js,4.92182
project.js,4.86626
tree.js,3.98871
actions.js,3.55535
index.js,2.30259
mutations.js,3.04452
mutation_types.js,1.60944
state.js,1.38629
actions.js,4.90947
constants.js,1.09861
getters.js,3.54833
index.js,2.48491
mutations.js,3.17805
mutation_types.js,1.38629
state.js,1.79176
actions.js,4.38981
getters.js,3.13549
index.js,2.48491
mutations.js,3.04452
mutation_types.js,1.94591
state.js,1.79176
actions.js,3.28127
constants.js,2.02533
index.js,2.30259
mutations.js,2.99707
mutation_types.js,1.60944
state.js,1.74787
actions.js,4.44575
constants.js,1.38629
getters.js,2.47635
index.js,2.36938
mutations.js,4.07543
mutation_types.js,2.70805
state.js,1.74787
utils.js,2.09827
branch.js,3.38927
file.js,4.82811
merge_request.js,3.19315
project.js,3.12029
tree.js,3.74567
files_decorator_worker.js,4.42495
image_badge.js,3.13549
image_diff.js,4.96019
init_discussion_tab.js,2.48491
replaced_image_diff.js,4.52179
view_types.js,2.19722
badge_helper.js,3.46574
comment_indicator_helper.js,4.06044
dom_helper.js,3.77586
index.js,3.21888
utils_helper.js,4.5326
integration_settings_form.js,4.41435
auto_width_dropdown_select.js,3.49714
event_hub.js,1.09861
index.js,2.45831
app.vue,5.58897
description.vue,4.43731
edited.vue,3.90158
edit_actions.vue,4.02365
form.vue,4.23544
locked_warning.vue,2.99573
title.vue,4.30132
description.vue,3.60895
description_template.vue,0.0
title.vue,3.11916
animate.js,2.56495
update.js,2.30259
index.js,2.21107
index.js,2.76559
job_details_bundle.js,3.74202
job_details_mediator.js,4.03916
artifacts_block.vue,4.58497
commit_block.vue,4.15888
empty_state.vue,4.33073
environments_block.vue,4.77068
erased_block.vue,3.78419
header.vue,4.34065
jobs_container.vue,4.09434
job_log.vue,3.49651
job_log_controllers.vue,4.93447
sidebar_details_block.vue,4.92584
sidebar_detail_row.vue,3.70353
stages_dropdown.vue,4.57471
stuck_block.vue,4.14313
trigger_block.vue,4.43082
job_service.js,1.88916
job_store.js,2.3979
ace.js,1.09861
ace_config_paths.js.erb,3.32249
accessor.js,3.85015
ajax_cache.js,3.16044
axios_utils.js,3.42949
bootstrap_linked_tabs.js,0.0
cache.js,2.83321
common_utils.js,0.0
constants.js,0.0
csrf.js,3.97882
datefix.js,3.27169
datetime_utility.js,0.0
dom_utils.js,2.07944
http_status.js,3.39691
image_utility.js,1.60944
keycodes.js,1.38629
logoutput_behaviours.js,3.82864
notify.js,3.78456
number_utils.js,4.40672
poll.js,4.24909
pretty_time.js,0.0
regexp.js,2.30259
scroll_utils.js,3.22389
simple_poll.js,2.70805
sticky.js,3.8864
text_markdown.js,4.59924
text_utility.js,4.52009
tick_formats.js,3.66356
type_utility.js,0.69315
url_utility.js,0.0
users_cache.js,3.3322
ensure_single_line.js,3.21888
index.js,3.87459
sprintf.js,3.2581
merge_conflicts_bundle.js,0.0
merge_conflict_service.js,0.0
merge_conflict_store.js,0.0
diff_file_editor.js,0.0
inline_conflict_lines.js,0.0
parallel_conflict_lines.js,0.0
line_conflict_actions.js,1.94591
line_conflict_utils.js,2.56495
event_hub.js,1.09861
monitoring_bundle.js,2.68918
dashboard.vue,0.0
empty_state.vue,0.0
graph.vue,0.0
graph_group.vue,3.27809
axis.vue,4.73736
deployment.vue,0.0
flag.vue,0.0
legend.vue,0.0
path.vue,0.0
track_info.vue,3.3673
track_line.vue,3.54501
monitoring_mixins.js,4.12061
monitoring_service.js,3.86524
monitoring_store.js,3.54768
date_time_formatters.js,3.26311
measurements.js,3.57263
multiple_time_series.js,4.5053
index.js,4.09788
actions.js,1.94591
getters.js,1.60944
index.js,2.70805
mutations.js,1.94591
mutation_types.js,1.09861
index.js,2.48491
branch_graph.js,0.0
raphael.js,4.30407
index.vue,4.02175
code.vue,3.6929
index.js,0.69315
markdown.vue,4.26877
prompt.vue,3.09556
index.vue,3.69338
html.vue,3.0027
image.vue,3.00477
index.vue,4.11535
highlight.js,3.09104
constants.js,2.95467
event_hub.js,1.09861
index.js,3.76463
comment_form.vue,0.0
diff_file_header.vue,4.39582
diff_with_note.vue,4.87099
discussion_counter.vue,4.43881
discussion_locked_widget.vue,0.0
