Issue Type,Issue key,Status,Created,Priority,Resolved,Bug age,,,,,,,,,,
Bug,PUP-2103,Closed,3/31/2014,Critical,9/29/2014,182,,,,,,,,,,
Bug,PUP-2150,Closed,4/3/2014,Critical,4/15/2014,12,,,,,,,,,,
Bug,PUP-2162,Closed,4/4/2014,Critical,4/15/2014,11,,,,,,,,,,
Bug,PUP-2213,Closed,4/10/2014,Critical,4/22/2014,12,,,,,,,,,,
Bug,PUP-2317,Closed,4/22/2014,Critical,5/2/2014,10,,,,,,,,,,
Bug,PUP-2637,Closed,4/22/2014,Critical,5/22/2014,30,,,,,,,,,,
Bug,PUP-2344,Closed,4/22/2014,Critical,5/1/2014,9,,,,,,,,,,
Bug,PUP-2348,Closed,4/22/2014,Critical,8/20/2014,120,,,,,,,,,,
Bug,PUP-2363,Closed,4/24/2014,Critical,4/29/2014,5,,,,,,,,,,
Bug,PUP-2505,Closed,5/6/2014,Critical,5/16/2014,10,,,,,,,,,,
Bug,PUP-2584,Closed,5/15/2014,Critical,5/20/2014,5,,,,,,,,,,
Bug,PUP-2610,Closed,5/16/2014,Critical,5/20/2014,4,,,,,,,,,,
Bug,PUP-2700,Closed,5/29/2014,Critical,6/17/2014,19,,,,,,,,,,
Bug,PUP-2727,Closed,6/4/2014,Critical,6/19/2014,15,,,,,,,,,,
Bug,PUP-2740,Closed,6/7/2014,Critical,5/16/2017,1074,,,,,,,,,,
Bug,PUP-2752,Closed,6/11/2014,Critical,8/20/2014,70,,,,,,,,,,
Bug,PUP-2781,Closed,6/14/2014,Critical,6/25/2014,11,,,,,,,,,,
Bug,PUP-2813,Closed,6/20/2014,Critical,6/23/2014,3,,,,,,,,,,
Bug,PUP-2839,Closed,6/25/2014,Critical,7/9/2014,14,,,,,,,,,,
Bug,PUP-2865,Closed,6/30/2014,Critical,6/30/2014,0,,,,,,,,,,
Bug,PUP-2925,Closed,7/10/2014,Critical,11/26/2014,139,,,,,,,,,,
Bug,PUP-2987,Closed,7/29/2014,Critical,8/21/2014,23,,,,,,,,,,
Bug,PUP-3035,Closed,8/7/2014,Critical,9/2/2014,26,,,,,,,,,,
Bug,PUP-3128,Closed,8/22/2014,Critical,9/15/2014,24,,,,,,,,,,
Bug,PUP-3184,Closed,9/4/2014,Critical,9/5/2014,1,,,,,,,,,,
Bug,PUP-5591,Closed,12/9/2015,Critical,1/13/2016,35,,,,,,,,,,
Bug,PUP-5546,Closed,11/24/2015,Critical,2/15/2016,83,,,,,,,,,,
Bug,PUP-5538,Closed,11/23/2015,Critical,1/20/2016,58,,,,,,,,,,
Bug,PUP-5480,Closed,11/6/2015,Critical,11/11/2015,5,,,,,,,,,,
Bug,PUP-5218,Closed,9/4/2015,Critical,9/10/2015,6,,,,,,,,,,
Bug,PUP-5092,Closed,8/26/2015,Critical,5/15/2017,628,,,,,,,,,,
Bug,PUP-5044,Closed,8/17/2015,Critical,8/27/2015,10,,,,,,,,,,
Bug,PUP-4847,Closed,6/30/2015,Critical,7/13/2015,13,,,,,,,,,,
Bug,PUP-4564,Closed,5/12/2015,Critical,5/12/2015,0,,,,,,,,,,
Bug,PUP-4512,Closed,5/1/2015,Critical,9/28/2015,150,,,,,,,,,,
Bug,PUP-4461,Closed,4/21/2015,Critical,5/20/2015,29,,,,,,,,,,
Bug,PUP-4437,Closed,4/17/2015,Critical,5/20/2015,33,,,,,,,,,,
Bug,PUP-4390,Closed,4/9/2015,Critical,5/20/2015,41,,,,,,,,,,
Bug,PUP-4336,Closed,3/28/2015,Critical,5/20/2015,53,,,,,,,,,,
Bug,PUP-4325,Closed,3/25/2015,Critical,3/26/2015,1,,,,,,,,,,
Bug,PUP-4238,Closed,3/18/2015,Critical,3/18/2015,0,,,,,,,,,,
Bug,PUP-3981,Closed,2/9/2015,Critical,2/9/2015,0,,,,,,,,,,
Bug,PUP-3704,Closed,11/26/2014,Critical,9/22/2016,666,,,,,,,,,,
Bug,PUP-3701,Closed,11/25/2014,Critical,1/7/2015,43,,,,,,,,,,
Bug,PUP-3516,Closed,10/23/2014,Critical,10/27/2014,4,,,,,,,,,,
Bug,PUP-3461,Closed,10/14/2014,Critical,1/20/2015,98,,,,,,,,,,
Bug,PUP-3442,Closed,10/11/2014,Critical,4/21/2015,192,,,,,,,,,,
Bug,PUP-3407,Closed,10/8/2014,Critical,10/9/2014,1,,,,,,,,,,
Bug,PUP-5850,Closed,2/9/2016,Critical,2/10/2016,1,,,,,,,,,,
Bug,PUP-5972,Closed,2/24/2016,Critical,5/15/2017,446,,,,,,,,,,
Bug,PUP-5977,Closed,2/25/2016,Critical,5/15/2017,445,,,,,,,,,,
Bug,PUP-6121,Closed,4/4/2016,Critical,4/5/2016,1,,,,,,,,,,
Bug,PUP-6321,Closed,5/18/2016,Critical,5/24/2016,6,,,,,,,,,,
Bug,PUP-6379,Closed,6/2/2016,Critical,5/16/2017,348,,,,,,,,,,
Bug,PUP-6499,Closed,7/13/2016,Critical,7/26/2016,13,,,,,,,,,,
Bug,PUP-6582,Closed,8/4/2016,Critical,8/29/2016,25,,,,,,,,,,
Bug,PUP-6608,Closed,8/11/2016,Critical,8/19/2016,8,,,,,,,,,,
Bug,PUP-6629,Closed,8/17/2016,Critical,8/31/2016,14,,,,,,,,,,
Bug,PUP-6652,Closed,8/25/2016,Critical,8/25/2016,0,,,,,,,,,,
Bug,PUP-6660,Closed,8/27/2016,Critical,5/20/2017,266,,,,,,,,,,
Bug,PUP-6662,Closed,8/30/2016,Critical,9/2/2016,3,,,,,,,,,,
Bug,PUP-6741,Closed,9/26/2016,Critical,12/5/2016,70,,,,,,,,,,
Bug,PUP-6865,Closed,11/2/2016,Critical,11/9/2016,7,,,,,,,,,,
Bug,PUP-6933,Closed,11/18/2016,Critical,11/29/2016,11,,,,,,,,,,
Bug,PUP-7073,Closed,1/6/2017,Critical,5/30/2017,144,,,,,,,,,,
Bug,PUP-7124,Closed,1/20/2017,Critical,2/2/2017,13,,,,,,,,,,
Bug,PUP-7216,Closed,2/14/2017,Critical,3/6/2017,20,,,,,,,,,,
Bug,PUP-7272,Closed,2/27/2017,Critical,3/22/2017,23,,,,,,,,,,
Bug,PUP-7289,Closed,3/1/2017,Critical,3/7/2017,6,,,,,,,,,,
Bug,PUP-7301,Closed,3/4/2017,Critical,3/6/2017,2,,,,,,,,,,
Bug,PUP-7418,Closed,3/31/2017,Critical,4/10/2017,10,,,,,,,,,,
Bug,PUP-7483,Closed,4/28/2017,Critical,5/1/2017,3,,,,,,,,,,
Bug,PUP-7496,Closed,5/4/2017,Critical,5/4/2017,0,,,,,,,,,,
Bug,PUP-7498,Closed,5/4/2017,Critical,5/12/2017,8,,,,,,,,,,
Bug,PUP-7623,Closed,6/5/2017,Critical,6/14/2017,9,,,,,,,,,,
Bug,PUP-7624,Closed,6/6/2017,Critical,6/6/2017,0,,,,,,,,,,
Bug,PUP-7650,Closed,6/12/2017,Critical,6/16/2017,4,,,,,,,,,,
Bug,PUP-7658,Closed,6/14/2017,Critical,6/16/2017,2,,,,,,,,,,
Bug,PUP-7665,Closed,6/14/2017,Critical,6/22/2017,8,,,,,,,,,,
Bug,PUP-7766,Closed,7/10/2017,Critical,7/18/2017,8,,,,,,,,,,
Bug,PUP-7772,Closed,7/12/2017,Critical,7/17/2017,5,,,,,,,,,,
Bug,PUP-7802,Closed,7/24/2017,Critical,7/31/2017,7,,,,,,,,,,
Bug,PUP-7825,Closed,8/9/2017,Critical,8/31/2017,22,,,,,,,,,,
Bug,PUP-7924,Closed,9/7/2017,Critical,10/9/2017,32,,,,,,,,,,
Bug,PUP-8009,Closed,10/2/2017,Critical,10/4/2017,2,,,,,,,,,,
Bug,PUP-8040,Closed,10/10/2017,Critical,10/27/2017,17,,,,,,,,,,
